name,measurement_unit,weight_per_unit,protein_per_100g,calories_per_100g,fat_per_100g,carbohydrates_per_100g,alcohol_percentage
lidl organic dark chocolate,g,,10,600,40,46.7,0
doritos nacho cheese,g,,6.8,480,22,61,0
nature valley crunchy haver en honing,g,,8.6,466.7,18.1,64.3,0
confiture,g,,0.7,239,0.2,57,0
volkoren san francisco,g,,9.2,448.3,14.9,66.7,0
noten en zaden met honing,g,,11.3,450,21.7,48.2,0
oatly the original haverdrank vol,ml,,1.1,57,2.8,6.6,0
high protein drink cacao,ml,,10.1,64,0.3,5,0
mild & creamy vanille,g,,3.7,66,2.2,7.5,0
mild&creamy coconut,g,,3.9,55,3,2.3,0
goed bezig stevige havermoutrepen naturel,g,,9.9,450.6,17.2,55.8,0
olijfolie,ml,,0,820,91,0,0
orange,ml,,0,23,0,5.6,0
lekker op brood,g,,0,353,39,0.6,0
yoghourt,g,,4.1,64,3.1,4.5,0
evergreen krenten,g,,6.9,383,9.1,65,0
oatly hafer barista edition,ml,,1.1,61,3,7.1,0
extra jam aardbei,g,,0.4,245,0.2,60,0
cream crackers,g,,9.8,447,13.8,69.3,0
snoeptomaten,g,,1.2,31,0.2,4.5,0
raifort râpé fort,g,,2.3,181,11,16,0
pfirsich soya,g,,3.6,69,2.1,8.3,0
protein bar cookies & cream,g,,36.4,352.7,12.4,30.9,0
herbamare kruidenzout,g,,0.9,18,0.5,2.5,0
coconut water,ml,,0.2,19,0,4.4,0
naturel muesli,g,,11,345,4,61,0
protein strawberry,g,,10,72,0.2,6.6,0
volkoren havermout,g,,14,375,7,59,0
"alpro mandeldrink, original 1l",ml,,0.4,22,1.1,2.4,0
kokosmelk,ml,,1.2,164,17,1.6,0
ah puur en eerlijk biologische volle melk,g,,3.5,65,3.5,4.5,0
banaan,g,,3.2,67,1.4,10.5,0
wasa delicate thin crackers sea salt 180g we,g,,9,436,13,68,0
tortilla wrap - medium,g,,8.3,302,4.9,55,0
ah biologische hazelnootpasta,g,,5.6,573,37,52,0
mais wafels,g,,6.7,400,3.3,83.3,0
